temp_air_C,temp_process_C,delta_temp_C,vitesse_rotation_rpm,couple_Nm,usure_outil_min,puissance_W,ratio_couple_vitesse,type_piece_L,type_piece_M,panne_machine,RUL_min,usine,piece_id
25.95,36.35,10.4,1339,48.2,86,6758.59,0.036,0,1,0,171.0,FR-Nantes,31
25.85,36.25,10.4,1798,25.5,89,4801.3,0.0142,1,0,0,180.3,FR-Lyon,32
25.85,36.25,10.4,1419,48.3,91,7177.25,0.034,1,0,0,168.9,FR-Lyon,33
25.75,36.15,10.4,1665,32.5,93,5666.65,0.0195,1,0,0,161.7,ES-Barcelone,34
25.65,35.95,10.3,1559,34.7,95,5665.06,0.0222,0,1,0,169.1,ES-Barcelone,35
25.65,36.05,10.4,1452,48.6,98,7389.78,0.0334,0,1,0,155.9,ES-Madrid,36
25.75,36.05,10.3,1581,36.7,101,6076.12,0.0232,0,1,0,160.0,FR-Toulouse,37
25.65,35.95,10.3,1439,39.2,104,5907.12,0.0272,1,0,0,146.2,FR-Lyon,38
25.75,36.05,10.3,1379,50.7,106,7321.51,0.0367,0,0,0,147.4,ES-Madrid,39
25.65,35.95,10.3,1350,52.5,111,7422.01,0.0389,1,0,0,150.0,FR-Toulouse,40
25.65,35.95,10.3,1362,45.4,113,6475.33,0.0333,1,0,0,150.7,FR-Lyon,41
25.65,35.95,10.3,1368,50.8,115,7277.44,0.0371,1,0,0,145.9,FR-Nantes,42
25.65,35.95,10.3,1368,49.1,117,7033.9,0.0359,0,1,0,142.4,FR-Lyon,43
25.65,36.05,10.4,1372,48.5,120,6968.26,0.0353,0,0,0,138.5,ES-Barcelone,44
25.65,35.95,10.3,1472,47.5,125,7322.01,0.0322,0,1,0,127.6,FR-Toulouse,45
25.65,35.95,10.3,1489,49.1,128,7656.05,0.033,1,0,0,128.4,ES-Madrid,46
25.55,35.85,10.3,1843,25.8,130,4979.36,0.014,0,1,0,127.7,FR-Toulouse,47
25.65,35.95,10.3,1418,46.3,133,6875.21,0.0326,1,0,0,132.3,FR-Nantes,48
25.65,36.05,10.4,1425,53.9,135,8043.26,0.0378,0,0,0,126.7,FR-Nantes,49
25.75,36.05,10.3,1412,44.1,140,6520.82,0.0312,0,1,0,111.2,FR-Lyon,50
25.75,35.95,10.2,2861,4.6,143,1378.17,0.0016,1,0,1,118.6,ES-Barcelone,51
25.75,35.95,10.2,1383,54.9,145,7951.03,0.0397,1,0,0,113.1,ES-Madrid,52
25.65,35.85,10.2,1497,43.8,147,6866.33,0.0292,0,0,0,109.6,ES-Barcelone,53
25.55,35.85,10.3,1565,35.1,152,5752.41,0.0224,1,0,0,111.1,ES-Barcelone,54
25.55,35.85,10.3,1691,30.1,154,5330.14,0.0178,1,0,0,111.2,FR-Nantes,55
25.65,35.95,10.3,1512,40.7,156,6444.29,0.0269,1,0,0,108.7,ES-Barcelone,56
25.65,35.95,10.3,1477,42.4,158,6558.05,0.0287,1,0,0,97.8,FR-Lyon,57
25.65,35.95,10.3,1513,40.3,160,6385.17,0.0266,1,0,0,98.5,FR-Lyon,58
25.65,35.85,10.2,1661,29.5,162,5131.22,0.0177,0,1,0,99.7,FR-Lyon,59
25.65,35.95,10.3,1378,54.4,165,7850.13,0.0394,1,0,0,99.9,FR-Toulouse,60
25.65,35.95,10.3,1393,52.6,167,7673.0,0.0377,1,0,0,90.6,FR-Toulouse,61
25.65,35.85,10.2,1592,38.2,169,6368.47,0.024,0,1,0,90.1,FR-Toulouse,62
25.65,35.85,10.2,1829,22.9,172,4386.09,0.0125,1,0,0,82.5,ES-Madrid,63
25.75,35.85,10.1,1812,25.9,174,4914.58,0.0143,0,1,0,80.0,FR-Toulouse,64
25.85,35.95,10.1,1523,38.6,177,6156.24,0.0253,1,0,0,87.1,FR-Toulouse,65
25.85,35.95,10.1,1394,45.1,179,6583.67,0.0323,1,0,0,87.8,FR-Nantes,66
25.75,35.75,10.0,1679,28.7,181,5046.16,0.0171,0,1,0,78.6,FR-Lyon,67
25.65,35.75,10.1,1466,44.1,184,6770.2,0.0301,0,0,0,81.0,ES-Madrid,68
25.65,35.75,10.1,1527,32.4,189,5180.99,0.0212,1,0,0,72.8,FR-Lyon,69
25.75,35.85,10.1,1410,65.7,191,9700.92,0.0466,1,0,1,65.8,ES-Barcelone,70
25.75,35.85,10.1,1924,22.6,193,4553.47,0.0117,0,1,0,68.8,ES-Madrid,71
25.75,35.95,10.2,1452,45.5,196,6918.42,0.0313,1,0,0,71.7,FR-Lyon,72
25.75,35.95,10.2,1369,44.4,198,6365.24,0.0324,1,0,0,61.8,FR-Lyon,73
25.85,35.95,10.1,1592,35.0,200,5834.98,0.022,1,0,0,67.8,ES-Madrid,74
25.75,35.85,10.1,1601,32.3,202,5415.3,0.0202,1,0,0,44.9,ES-Madrid,75
25.65,35.75,10.1,1379,46.7,204,6743.88,0.0338,1,0,0,60.1,ES-Madrid,76
25.65,35.75,10.1,1461,47.9,206,7328.49,0.0328,1,0,0,54.4,ES-Madrid,77
25.65,35.75,10.1,1455,41.3,208,6292.77,0.0284,1,0,1,50.5,FR-Lyon,78
25.65,35.75,10.1,1398,51.5,0,7539.51,0.0368,1,0,0,260.5,FR-Toulouse,79
25.65,35.75,10.1,1402,37.9,2,5564.37,0.027,1,0,0,248.1,FR-Lyon,80
25.65,35.65,10.0,1445,49.9,4,7550.87,0.0345,0,0,0,254.9,ES-Barcelone,81
25.75,35.75,10.0,1450,47.5,9,7212.57,0.0327,1,0,0,252.8,FR-Nantes,82
25.75,35.75,10.0,1453,40.8,11,6208.04,0.0281,1,0,0,256.4,FR-Toulouse,83
25.85,35.85,10.0,1469,40.1,13,6168.72,0.0273,1,0,0,244.4,FR-Lyon,84
25.75,35.75,10.0,1422,47.6,15,7088.19,0.0335,1,0,0,241.0,FR-Toulouse,85
25.85,35.85,10.0,1804,26.8,17,5062.91,0.0148,0,1,0,240.5,FR-Toulouse,86
25.85,35.85,10.0,1436,43.9,20,6601.58,0.0305,0,0,0,244.6,ES-Madrid,87
25.85,35.85,10.0,1544,31.8,25,5141.66,0.0206,1,0,0,236.6,FR-Nantes,88
25.85,35.85,10.0,1419,45.2,27,6716.6,0.0318,0,1,0,230.4,ES-Barcelone,89
25.75,35.75,10.0,1487,39.5,30,6150.87,0.0265,0,1,0,232.6,FR-Nantes,90
25.75,35.75,10.0,1753,25.8,33,4736.2,0.0147,1,0,0,227.5,FR-Lyon,91
25.75,35.75,10.0,1830,24.9,35,4771.77,0.0136,1,0,0,229.8,ES-Madrid,92
25.75,35.75,10.0,1727,27.1,37,4901.06,0.0157,0,1,0,219.5,ES-Madrid,93
25.95,35.85,9.9,1450,43.0,40,6529.28,0.0296,1,0,0,218.4,FR-Nantes,94
25.85,35.75,9.9,1622,31.9,42,5418.39,0.0197,1,0,0,216.0,ES-Madrid,95
25.85,35.85,10.0,1351,52.2,44,7385.07,0.0386,0,1,0,208.7,FR-Nantes,96
25.85,35.85,10.0,1575,35.3,47,5822.16,0.0224,0,1,0,214.5,FR-Nantes,97
25.75,35.75,10.0,1750,29.9,50,5479.46,0.0171,0,1,0,211.3,FR-Toulouse,98
25.75,35.65,9.9,1529,32.7,53,5235.81,0.0214,1,0,0,207.0,FR-Lyon,99
25.65,35.65,10.0,1523,44.4,55,7081.28,0.0291,1,0,0,203.8,FR-Lyon,100
25.65,35.75,10.1,1852,25.0,57,4848.52,0.0135,1,0,0,195.9,FR-Lyon,101
25.65,35.65,10.0,1991,20.7,59,4315.89,0.0104,1,0,0,198.9,FR-Nantes,102
25.65,35.65,10.0,1555,40.6,61,6611.27,0.0261,1,0,0,197.3,FR-Toulouse,103
25.65,35.65,10.0,1441,40.5,63,6111.5,0.0281,0,1,0,193.0,FR-Nantes,104
25.65,35.55,9.9,1450,43.4,66,6590.01,0.0299,1,0,0,193.2,ES-Barcelone,105
25.65,35.55,9.9,1591,31.1,68,5181.54,0.0195,1,0,0,194.0,FR-Lyon,106
25.65,35.55,9.9,1445,48.5,70,7339.02,0.0335,1,0,0,199.4,FR-Toulouse,107
25.65,35.65,10.0,1497,46.8,72,7336.62,0.0312,0,1,0,188.9,ES-Madrid,108
25.75,35.65,9.9,1621,32.7,75,5550.85,0.0202,0,0,0,186.3,FR-Lyon,109
25.75,35.55,9.8,1572,34.1,80,5613.52,0.0217,1,0,0,179.6,FR-Lyon,110
25.65,35.45,9.8,1872,22.5,82,4410.8,0.012,1,0,0,168.4,FR-Toulouse,111
25.55,35.45,9.9,1499,43.5,84,6828.41,0.029,0,0,0,175.9,FR-Lyon,112
25.65,35.55,9.9,1498,39.5,89,6196.37,0.0264,0,1,0,171.3,ES-Barcelone,113
25.65,35.45,9.8,1486,41.9,92,6520.21,0.0282,0,1,0,180.3,ES-Madrid,114
25.65,35.45,9.8,1680,29.4,95,5172.32,0.0175,1,0,0,164.0,FR-Nantes,115
25.65,35.45,9.8,1431,45.7,97,6848.33,0.0319,1,0,0,164.5,ES-Barcelone,116
25.75,35.55,9.8,1564,34.1,99,5584.96,0.0218,1,0,0,160.8,ES-Madrid,117
25.65,35.45,9.8,1599,33.0,101,5525.75,0.0206,1,0,0,153.2,FR-Lyon,118
25.65,35.45,9.8,1707,28.1,103,5023.06,0.0165,0,1,0,162.7,ES-Barcelone,119
25.55,35.35,9.8,1467,40.7,106,6252.49,0.0277,1,0,0,157.8,FR-Nantes,120
25.75,35.55,9.8,1433,44.7,108,6707.83,0.0312,1,0,0,156.0,ES-Madrid,121
25.75,35.55,9.8,1558,41.2,110,6721.92,0.0264,1,0,0,145.5,ES-Barcelone,122
25.85,35.65,9.8,1310,50.7,112,6955.17,0.0387,1,0,0,155.0,FR-Toulouse,123
25.75,35.55,9.8,1546,43.4,114,7026.32,0.0281,1,0,0,139.0,FR-Lyon,124
25.75,35.55,9.8,1727,29.4,116,5317.02,0.017,1,0,0,146.9,FR-Lyon,125
25.75,35.45,9.7,1560,32.2,118,5260.28,0.0206,1,0,0,153.0,FR-Toulouse,126
25.85,35.45,9.6,1329,60.5,120,8419.94,0.0455,1,0,0,135.0,ES-Madrid,127
25.75,35.45,9.7,1413,46.5,122,6880.56,0.0329,1,0,0,135.2,ES-Barcelone,128
25.85,35.45,9.6,1587,38.6,124,6414.94,0.0243,1,0,0,136.5,FR-Lyon,129
25.75,35.35,9.6,1559,34.3,126,5599.75,0.022,1,0,0,131.5,FR-Nantes,130
25.65,35.25,9.6,1473,41.1,128,6339.77,0.0279,1,0,0,124.2,FR-Toulouse,131
25.65,35.25,9.6,1737,27.7,130,5038.58,0.0159,1,0,0,130.3,FR-Lyon,132
25.55,35.25,9.7,1441,43.2,132,6518.93,0.03,0,1,0,122.7,FR-Lyon,133
25.55,35.25,9.7,1430,49.6,135,7427.56,0.0347,0,1,0,127.4,FR-Toulouse,134
25.65,35.25,9.6,1369,53.0,138,7598.15,0.0387,1,0,0,117.4,ES-Barcelone,135
25.65,35.35,9.7,1711,28.5,140,5106.5,0.0166,0,1,0,127.7,FR-Toulouse,136
25.55,35.35,9.8,1420,45.7,143,6795.68,0.0322,0,0,0,113.1,FR-Nantes,137
25.55,35.45,9.9,1297,55.3,148,7510.93,0.0426,1,0,0,110.4,ES-Madrid,138
25.65,35.45,9.8,1449,49.4,150,7495.9,0.0341,0,0,0,114.1,FR-Toulouse,139
25.65,35.45,9.8,1268,55.8,155,7409.38,0.044,1,0,0,98.8,ES-Barcelone,140
25.65,35.45,9.8,1511,36.1,157,5712.16,0.0239,1,0,0,104.1,ES-Barcelone,141
25.55,35.35,9.8,1544,35.2,159,5691.39,0.0228,1,0,0,107.5,FR-Toulouse,142
25.45,35.25,9.8,1778,28.2,161,5250.61,0.0159,0,1,0,91.0,FR-Nantes,143
25.45,35.25,9.8,1407,50.5,164,7440.71,0.0359,0,0,0,96.9,FR-Toulouse,144
25.45,35.25,9.8,1391,42.4,169,6176.2,0.0305,0,1,0,92.3,FR-Toulouse,145
25.35,35.25,9.9,1513,33.6,172,5323.62,0.0222,1,0,0,91.9,FR-Lyon,146
25.35,35.25,9.9,1612,36.1,174,6093.98,0.0224,0,0,0,79.8,FR-Nantes,147
25.25,35.25,10.0,1515,40.1,179,6361.88,0.0265,1,0,0,74.4,FR-Nantes,148
25.15,35.15,10.0,1379,48.0,181,6931.61,0.0348,0,1,0,81.6,FR-Lyon,149
25.25,35.15,9.9,1473,39.9,184,6154.66,0.0271,1,0,0,77.5,FR-Toulouse,150
25.25,35.15,9.9,1422,42.7,186,6358.52,0.03,1,0,0,75.3,ES-Barcelone,151
25.25,35.05,9.8,1463,37.6,188,5760.51,0.0257,0,1,0,73.7,FR-Lyon,152
25.25,35.05,9.8,1584,41.0,191,6800.92,0.0259,0,1,0,65.6,FR-Lyon,153
25.25,35.05,9.8,1850,27.0,194,5230.75,0.0146,1,0,0,67.2,FR-Nantes,154
25.25,35.05,9.8,1528,36.2,196,5792.43,0.0237,1,0,0,65.5,ES-Barcelone,155
25.25,35.05,9.8,1987,19.8,198,4119.95,0.01,0,0,0,58.4,FR-Lyon,156
25.25,34.95,9.7,1495,46.0,203,7201.58,0.0307,0,1,0,66.3,ES-Madrid,157
25.25,35.05,9.8,1478,43.5,206,6732.75,0.0294,0,0,0,56.4,ES-Madrid,158
25.25,35.05,9.8,1499,40.0,211,6279.0,0.0267,0,1,0,43.0,FR-Lyon,159
25.25,35.05,9.8,1471,47.0,214,7240.01,0.0319,1,0,0,49.3,ES-Madrid,160
25.25,35.05,9.8,1282,60.7,216,8149.02,0.0473,1,0,1,39.1,FR-Toulouse,161
25.15,34.95,9.8,1412,52.3,218,7733.3,0.037,1,0,1,45.9,FR-Nantes,162
25.15,34.95,9.8,1586,35.5,0,5896.04,0.0224,1,0,0,265.8,FR-Nantes,163
25.25,35.05,9.8,1468,43.8,2,6733.31,0.0298,0,1,0,253.9,FR-Nantes,164
25.35,35.15,9.8,1440,43.6,5,6574.73,0.0303,0,1,0,259.8,FR-Lyon,165
25.35,35.25,9.9,1733,26.0,8,4718.46,0.015,1,0,0,254.1,ES-Madrid,166
25.25,35.05,9.8,1612,32.6,10,5503.15,0.0202,0,0,0,254.1,FR-Toulouse,167
25.25,35.15,9.9,1458,42.9,15,6550.03,0.0294,0,0,0,254.5,FR-Lyon,168
25.25,35.15,9.9,1433,62.3,20,9348.95,0.0434,1,0,1,238.8,FR-Lyon,169
25.25,35.15,9.9,1318,59.1,22,8157.02,0.0448,1,0,0,234.2,FR-Nantes,170
25.25,35.05,9.8,1610,35.0,24,5900.96,0.0217,0,1,0,231.6,ES-Madrid,171
25.05,34.95,9.9,1462,50.8,27,7777.49,0.0347,1,0,0,228.9,FR-Lyon,172
24.95,34.85,9.9,1924,20.8,29,4190.8,0.0108,0,1,0,230.6,FR-Nantes,173
25.05,34.85,9.8,1591,33.7,32,5614.73,0.0212,0,1,0,229.7,FR-Lyon,174
25.05,34.95,9.9,1306,58.3,35,7973.34,0.0446,1,0,0,226.4,FR-Nantes,175
25.05,34.95,9.9,1382,43.5,37,6295.44,0.0315,1,0,0,227.1,FR-Lyon,176
25.05,34.95,9.9,1618,34.7,39,5879.45,0.0214,1,0,0,221.1,ES-Madrid,177
25.05,35.05,10.0,1988,21.4,41,4455.11,0.0108,1,0,0,226.3,FR-Toulouse,178
25.05,35.05,10.0,1436,50.2,43,7548.95,0.0349,1,0,0,215.7,ES-Barcelone,179
25.05,35.15,10.1,1304,49.8,45,6800.42,0.0382,1,0,0,228.6,FR-Lyon,180
25.05,35.15,10.1,1475,49.9,47,7707.64,0.0338,1,0,0,216.1,FR-Toulouse,181
25.05,35.15,10.1,1824,24.2,49,4622.41,0.0133,0,0,0,206.7,FR-Lyon,182
24.95,35.05,10.1,1342,48.1,54,6759.68,0.0358,0,1,0,200.6,ES-Barcelone,183
24.95,35.05,10.1,1485,40.7,57,6329.21,0.0274,1,0,0,205.4,ES-Barcelone,184
25.05,35.05,10.0,1667,30.6,59,5341.78,0.0183,1,0,0,199.9,FR-Toulouse,185
25.05,35.05,10.0,1446,38.2,61,5784.43,0.0264,1,0,0,202.6,ES-Madrid,186
24.95,35.15,10.2,1301,56.0,63,7629.46,0.043,1,0,0,199.4,ES-Madrid,187
25.05,35.25,10.2,1379,43.1,65,6224.01,0.0312,1,0,0,194.6,FR-Nantes,188
25.15,35.35,10.2,1606,33.6,67,5650.85,0.0209,1,0,0,188.8,FR-Nantes,189
25.15,35.25,10.1,1539,43.4,69,6994.5,0.0282,0,1,0,183.4,FR-Lyon,190
25.05,35.25,10.2,1477,49.9,72,7718.09,0.0338,1,0,0,185.8,FR-Lyon,191
25.05,35.25,10.2,1666,34.6,74,6036.42,0.0208,1,0,0,190.3,ES-Barcelone,192
25.05,35.25,10.2,1398,51.8,76,7583.43,0.037,0,0,0,185.1,ES-Barcelone,193
25.05,35.25,10.2,1678,34.6,81,6079.9,0.0206,0,0,0,172.8,FR-Nantes,194
25.05,35.35,10.3,2678,10.7,86,3000.7,0.004,0,1,1,174.9,FR-Toulouse,195
25.15,35.35,10.2,1453,42.9,89,6527.57,0.0295,1,0,0,172.9,FR-Toulouse,196
25.15,35.45,10.3,1432,49.5,91,7422.96,0.0345,0,0,0,164.6,ES-Madrid,197
25.25,35.45,10.2,1527,40.9,96,6540.2,0.0268,0,1,0,164.8,ES-Barcelone,198
25.25,35.55,10.3,1588,35.0,99,5820.32,0.022,1,0,0,161.3,ES-Barcelone,199
25.25,35.45,10.2,1433,47.1,101,7067.99,0.0328,1,0,0,153.3,ES-Madrid,200
25.25,35.45,10.2,1609,35.0,103,5897.29,0.0217,1,0,0,158.8,FR-Nantes,201
25.15,35.35,10.2,1575,41.2,105,6795.26,0.0261,1,0,0,157.8,FR-Lyon,202
25.25,35.35,10.1,1636,35.7,107,6116.18,0.0218,0,1,0,158.4,FR-Lyon,203
25.25,35.35,10.1,1490,37.9,110,5913.63,0.0254,1,0,0,155.3,ES-Barcelone,204
25.25,35.35,10.1,1741,32.8,112,5980.0,0.0188,1,0,0,141.1,FR-Nantes,205
25.35,35.45,10.1,1344,53.0,114,7459.4,0.0394,0,1,0,141.3,FR-Lyon,206
25.35,35.55,10.2,1609,35.3,117,5947.84,0.0219,1,0,0,145.6,FR-Lyon,207
25.25,35.55,10.3,1421,60.7,119,9032.57,0.0427,0,1,1,143.6,ES-Madrid,208
25.25,35.45,10.2,1591,36.7,122,6114.56,0.0231,1,0,0,140.6,FR-Lyon,209
25.25,35.45,10.2,1477,44.0,124,6805.53,0.0298,1,0,0,155.3,FR-Lyon,210
25.25,35.55,10.3,1523,36.1,126,5757.52,0.0237,1,0,0,136.9,FR-Nantes,211
25.35,35.55,10.2,1575,33.9,128,5591.25,0.0215,1,0,0,137.7,ES-Madrid,212
25.25,35.55,10.3,1344,52.9,130,7445.32,0.0393,0,0,0,134.8,ES-Madrid,213
25.25,35.55,10.3,1386,44.9,135,6516.86,0.0324,1,0,0,128.3,FR-Lyon,214
25.15,35.45,10.3,1589,37.1,137,6173.43,0.0233,0,1,0,121.4,ES-Madrid,215
25.15,35.45,10.3,1548,40.3,140,6532.88,0.026,1,0,0,123.8,FR-Lyon,216
25.15,35.45,10.3,1499,38.3,142,6012.14,0.0255,1,0,0,114.1,FR-Toulouse,217
25.15,35.35,10.2,1664,31.6,144,5506.42,0.019,1,0,0,114.8,ES-Madrid,218
25.15,35.45,10.3,1447,38.1,146,5773.27,0.0263,1,0,0,111.6,FR-Nantes,219
25.15,35.35,10.2,1434,46.2,148,6937.77,0.0322,0,1,0,112.4,ES-Madrid,220
25.15,35.35,10.2,1416,52.7,151,7814.52,0.0372,1,0,0,120.6,ES-Madrid,221
25.25,35.35,10.1,1827,24.3,153,4649.15,0.0133,0,0,0,97.7,FR-Nantes,222
25.25,35.45,10.2,1304,45.0,158,6144.96,0.0345,1,0,0,105.4,FR-Lyon,223
25.25,35.45,10.2,1569,34.4,160,5652.1,0.0219,1,0,0,91.9,FR-Toulouse,224
25.15,35.45,10.3,1584,29.3,162,4860.17,0.0185,1,0,0,95.6,FR-Toulouse,225
25.15,35.35,10.2,1362,53.8,164,7673.4,0.0395,1,0,0,101.4,FR-Lyon,226
25.15,35.25,10.1,1329,49.2,166,6847.29,0.037,1,0,0,94.3,ES-Barcelone,227
25.15,35.35,10.2,1539,36.1,168,5818.01,0.0234,1,0,0,86.6,FR-Toulouse,228
25.15,35.35,10.2,1629,37.1,170,6328.83,0.0228,0,1,0,86.4,ES-Barcelone,229
25.15,35.35,10.2,1538,32.2,173,5186.1,0.0209,1,0,0,90.4,FR-Nantes,230
25.15,35.45,10.3,1570,34.8,175,5721.47,0.0222,1,0,0,81.3,ES-Madrid,231
25.15,35.25,10.1,1408,43.1,177,6354.9,0.0306,1,0,0,84.1,FR-Nantes,232
25.05,35.25,10.2,1424,47.6,179,7098.16,0.0334,1,0,0,81.2,FR-Nantes,233
25.05,35.25,10.2,1512,34.9,181,5525.94,0.0231,1,0,0,75.7,FR-Nantes,234
25.05,35.25,10.2,1478,42.9,183,6639.88,0.029,1,0,0,87.7,FR-Lyon,235
24.95,35.15,10.2,1680,33.7,185,5928.81,0.02,0,1,0,78.2,ES-Madrid,236
24.95,35.15,10.2,1495,38.7,188,6058.72,0.0259,1,0,0,61.9,FR-Toulouse,237
24.85,34.95,10.1,1552,36.6,190,5948.42,0.0236,0,1,0,70.9,FR-Lyon,238
24.75,34.95,10.2,1393,50.3,193,7337.49,0.0361,1,0,0,63.7,FR-Nantes,239
24.85,35.05,10.2,1611,30.6,195,5162.33,0.019,1,0,0,69.3,FR-Lyon,240
24.85,34.95,10.1,1339,51.6,197,7235.34,0.0385,0,1,0,59.0,ES-Barcelone,241
24.85,34.95,10.1,1777,24.3,200,4521.91,0.0137,1,0,0,59.4,ES-Barcelone,242
24.85,35.05,10.2,1348,58.8,202,8300.34,0.0436,1,0,1,60.5,ES-Barcelone,243
24.85,35.05,10.2,1442,44.1,204,6659.36,0.0306,1,0,0,60.3,FR-Toulouse,244
24.85,35.05,10.2,1395,49.1,206,7172.73,0.0352,0,1,0,48.0,FR-Lyon,245
24.75,34.95,10.2,1627,31.4,209,5349.9,0.0193,0,1,0,49.3,ES-Barcelone,246
24.75,34.95,10.2,1585,33.5,212,5560.36,0.0211,1,0,0,45.6,FR-Toulouse,247
24.85,35.05,10.2,1469,45.5,214,6999.42,0.031,1,0,0,42.7,ES-Barcelone,248
24.85,35.15,10.3,1362,56.8,216,8101.29,0.0417,1,0,1,52.8,ES-Barcelone,249
24.85,35.15,10.3,1405,56.2,218,8268.78,0.04,1,0,1,44.0,ES-Barcelone,250
24.85,35.15,10.3,1662,32.7,0,5691.25,0.0197,1,0,0,253.7,FR-Toulouse,251
24.85,35.05,10.2,1466,42.6,2,6539.92,0.029,0,1,0,262.6,FR-Toulouse,252
24.85,35.05,10.2,1620,35.8,5,6073.33,0.0221,1,0,0,265.6,ES-Barcelone,253
24.85,35.05,10.2,1357,48.2,7,6849.45,0.0355,1,0,0,258.2,FR-Toulouse,254
24.85,35.05,10.2,1514,37.9,9,6008.88,0.025,1,0,0,243.4,FR-Lyon,255
24.85,35.05,10.2,1489,40.4,11,6299.48,0.0271,1,0,0,246.6,FR-Nantes,256
24.95,35.15,10.2,1331,63.0,13,8781.07,0.0473,1,0,0,253.3,ES-Barcelone,257
24.85,34.85,10.0,1615,29.5,15,4989.11,0.0183,1,0,0,241.5,ES-Madrid,258
24.95,35.05,10.1,1482,37.9,17,5881.88,0.0256,1,0,0,245.2,FR-Nantes,259
24.95,35.05,10.1,1420,63.9,19,9502.06,0.045,0,1,1,244.9,FR-Lyon,260
25.05,35.15,10.1,1522,49.1,22,7825.73,0.0322,0,1,0,233.4,FR-Nantes,261
24.95,35.05,10.1,1654,32.1,25,5559.93,0.0194,1,0,0,234.7,ES-Barcelone,262
24.95,35.05,10.1,1736,26.8,27,4872.07,0.0154,0,1,0,216.8,FR-Lyon,263
24.85,34.95,10.1,1587,32.3,30,5367.95,0.0203,0,1,0,224.9,FR-Nantes,264
24.95,35.05,10.1,1390,47.5,33,6914.12,0.0341,1,0,0,225.7,ES-Barcelone,265
24.85,34.95,10.1,1454,37.1,35,5648.94,0.0255,1,0,0,218.8,ES-Madrid,266
24.85,34.95,10.1,1440,43.7,37,6589.8,0.0303,0,0,0,231.2,ES-Madrid,267
24.75,34.85,10.1,1954,21.1,42,4317.53,0.0108,1,0,0,210.8,ES-Madrid,268
24.75,34.85,10.1,1800,24.8,44,4674.69,0.0138,0,0,0,213.8,FR-Toulouse,269
