Timestamp,Machine ID,Material Category,Material Name,Quantity Used (kg),Recycled Material (%),Energy Consumption (kWh),Production Output (Units),Defect Rate (%)
2025-05-01 14:55:00,M003,Hazardous Material,Lead-Based Alloy,186.04,0.0,151.03,778,0.14
2025-05-01 15:00:00,M007,Intermediate Material,Plastic Resin,77.26,0.0,111.22,435,1.06
2025-05-01 15:05:00,M006,Process Additive,Coolant,91.74,0.0,194.14,531,1.26
2025-05-01 15:10:00,M002,Recycled Material,Scrap Steel,162.35,2.6,194.23,329,3.25
2025-05-01 15:15:00,M001,Raw Material,Aluminum,79.9,0.0,82.45,256,1.19
2025-05-01 15:20:00,M008,Finished Material,Circuit Board,134.6,0.0,106.16,816,1.28
2025-05-01 15:25:00,M006,Intermediate Material,Textiles,141.09,0.0,169.75,217,3.89
2025-05-01 15:30:00,M003,Process Additive,Industrial Oil,136.8,0.0,191.47,689,3.39
2025-05-01 15:35:00,M007,Recycled Material,Scrap Steel,61.4,34.53,155.27,204,3.49
2025-05-01 15:40:00,M005,Finished Material,Packaging,170.83,0.0,175.55,679,3.91
2025-05-01 15:45:00,M006,Hazardous Material,Solvent,149.23,0.0,88.27,763,1.71
2025-05-01 15:50:00,M007,Recycled Material,Scrap Steel,115.03,18.11,186.99,570,3.54
2025-05-01 15:55:00,M007,Intermediate Material,Textiles,128.26,0.0,158.05,730,4.04
2025-05-01 16:00:00,M009,Recycled Material,Reprocessed Plastics,115.34,36.55,112.21,972,1.23
2025-05-01 16:05:00,M002,Process Additive,Coolant,86.58,0.0,135.77,724,3.34
2025-05-01 16:10:00,M006,Raw Material,Cotton,177.64,0.0,101.82,317,1.77
2025-05-01 16:15:00,M005,Process Additive,Coolant,182.05,0.0,164.14,382,2.78
2025-05-01 16:20:00,M009,Intermediate Material,Sheet Metal,86.2,0.0,128.77,668,3.79
2025-05-01 16:25:00,M008,Finished Material,Packaging,123.62,0.0,175.15,195,1.47
2025-05-01 16:30:00,M007,Finished Material,Circuit Board,95.93,0.0,149.79,584,2.77
2025-05-01 16:35:00,M006,Recycled Material,Reprocessed Plastics,102.77,22.69,116.79,336,0.6
2025-05-01 16:40:00,M004,Process Additive,Industrial Oil,161.43,0.0,194.11,806,0.93
2025-05-01 16:45:00,M004,Finished Material,Machine Component,91.47,0.0,150.75,878,2.62
2025-05-01 16:50:00,M005,Raw Material,Aluminum,94.44,0.0,123.31,409,0.07
2025-05-01 16:55:00,M009,Intermediate Material,Plastic Resin,56.83,0.0,86.54,399,3.49
2025-05-01 17:00:00,M003,Finished Material,Machine Component,65.39,0.0,81.47,391,2.35
2025-05-01 17:05:00,M008,Process Additive,Industrial Oil,194.82,0.0,110.3,982,2.39
2025-05-01 17:10:00,M002,Recycled Material,Reprocessed Plastics,61.11,31.47,86.43,252,4.06
2025-05-01 17:15:00,M005,Raw Material,Aluminum,67.77,0.0,171.73,720,2.98
2025-05-01 17:20:00,M010,Intermediate Material,Textiles,107.06,0.0,189.02,404,4.3
2025-05-01 17:25:00,M007,Process Additive,Catalyst,143.15,0.0,153.16,857,0.5
2025-05-01 17:30:00,M004,Finished Material,Circuit Board,89.7,0.0,89.74,345,0.87
2025-05-01 17:35:00,M002,Intermediate Material,Sheet Metal,111.28,0.0,162.72,581,1.46
2025-05-01 17:40:00,M004,Process Additive,Catalyst,92.41,0.0,183.15,172,3.44
2025-05-01 17:45:00,M005,Finished Material,Packaging,149.18,0.0,192.04,535,0.57
2025-05-01 17:50:00,M004,Finished Material,Circuit Board,186.26,0.0,179.2,173,0.3
2025-05-01 17:55:00,M005,Hazardous Material,Solvent,115.87,0.0,136.24,411,3.5
2025-05-01 18:00:00,M005,Hazardous Material,Solvent,115.66,0.0,151.76,542,3.67
2025-05-01 18:05:00,M010,Process Additive,Industrial Oil,63.7,0.0,195.43,956,4.3
2025-05-01 18:10:00,M010,Raw Material,Polypropylene,136.44,0.0,171.57,279,2.35
2025-05-01 18:15:00,M008,Process Additive,Industrial Oil,199.54,0.0,132.31,933,2.46
2025-05-01 18:20:00,M002,Recycled Material,Reprocessed Plastics,111.25,16.05,92.55,264,1.65
2025-05-01 18:25:00,M008,Process Additive,Catalyst,191.78,0.0,177.63,663,0.18
2025-05-01 18:30:00,M002,Process Additive,Coolant,98.49,0.0,196.42,513,4.32
2025-05-01 18:35:00,M001,Finished Material,Packaging,119.3,0.0,86.5,630,1.81
2025-05-01 18:40:00,M008,Finished Material,Machine Component,164.0,0.0,104.43,662,0.66
2025-05-01 18:45:00,M005,Recycled Material,Reprocessed Plastics,68.21,48.66,153.06,345,3.55
2025-05-01 18:50:00,M005,Hazardous Material,Lead-Based Alloy,132.84,0.0,91.19,961,4.56
2025-05-01 18:55:00,M008,Raw Material,Aluminum,124.76,0.0,165.99,621,3.53
2025-05-01 19:00:00,M007,Recycled Material,Reprocessed Plastics,86.56,27.56,126.03,713,2.54
2025-05-01 19:05:00,M003,Raw Material,Polypropylene,165.9,0.0,182.53,448,4.67
2025-05-01 19:10:00,M009,Process Additive,Industrial Oil,92.43,0.0,115.83,701,2.9
2025-05-01 19:15:00,M008,Intermediate Material,Plastic Resin,130.79,0.0,121.41,665,3.81
2025-05-01 19:20:00,M007,Recycled Material,Reprocessed Plastics,180.44,49.04,108.66,492,1.17
2025-05-01 19:25:00,M007,Raw Material,Polypropylene,161.71,0.0,164.63,930,1.91
2025-05-01 19:30:00,M003,Recycled Material,Scrap Steel,68.94,48.27,119.84,202,4.37
2025-05-01 19:35:00,M008,Raw Material,Cotton,52.3,0.0,97.3,991,3.27
2025-05-01 19:40:00,M003,Raw Material,Cotton,167.23,0.0,111.8,738,3.46
2025-05-01 19:45:00,M002,Process Additive,Catalyst,178.9,0.0,125.6,424,3.13
2025-05-01 19:50:00,M008,Hazardous Material,Lead-Based Alloy,142.62,0.0,108.17,800,4.6
2025-05-01 19:55:00,M004,Finished Material,Circuit Board,115.1,0.0,91.81,748,3.52
2025-05-01 20:00:00,M002,Recycled Material,Scrap Steel,154.1,45.17,85.52,915,0.28
2025-05-01 20:05:00,M006,Process Additive,Coolant,71.84,0.0,143.74,679,3.41
2025-05-01 20:10:00,M003,Intermediate Material,Sheet Metal,61.85,0.0,184.5,734,3.42
2025-05-01 20:15:00,M008,Hazardous Material,Lead-Based Alloy,84.83,0.0,156.55,570,1.28
2025-05-01 20:20:00,M001,Recycled Material,Reprocessed Plastics,151.64,7.9,133.01,453,4.94
2025-05-01 20:25:00,M005,Finished Material,Machine Component,153.55,0.0,134.82,409,1.0
2025-05-01 20:30:00,M007,Recycled Material,Scrap Steel,85.58,28.6,148.98,816,1.48
2025-05-01 20:35:00,M007,Process Additive,Industrial Oil,134.89,0.0,162.3,862,4.87
2025-05-01 20:40:00,M010,Finished Material,Machine Component,174.93,0.0,188.35,894,3.99
2025-05-01 20:45:00,M010,Process Additive,Industrial Oil,145.49,0.0,154.51,794,3.78
2025-05-01 20:50:00,M003,Finished Material,Circuit Board,185.51,0.0,157.56,416,3.94
2025-05-01 20:55:00,M001,Hazardous Material,Solvent,159.85,0.0,90.82,402,1.63
2025-05-01 21:00:00,M007,Intermediate Material,Sheet Metal,69.82,0.0,144.73,474,2.65
2025-05-01 21:05:00,M005,Intermediate Material,Plastic Resin,187.11,0.0,193.3,925,1.48
2025-05-01 21:10:00,M006,Raw Material,Cotton,194.43,0.0,96.89,331,4.3
2025-05-01 21:15:00,M007,Hazardous Material,Solvent,63.55,0.0,127.35,370,2.68
2025-05-01 21:20:00,M008,Process Additive,Catalyst,162.35,0.0,111.46,490,4.11
2025-05-01 21:25:00,M006,Raw Material,Aluminum,120.72,0.0,154.35,674,1.64
2025-05-01 21:30:00,M010,Intermediate Material,Textiles,59.48,0.0,178.86,817,1.51
2025-05-01 21:35:00,M007,Raw Material,Aluminum,56.8,0.0,84.47,604,0.58
2025-05-01 21:40:00,M004,Hazardous Material,Lead-Based Alloy,108.3,0.0,124.52,860,3.48
2025-05-01 21:45:00,M009,Recycled Material,Scrap Steel,182.81,32.75,180.04,730,2.04
2025-05-01 21:50:00,M005,Raw Material,Polypropylene,82.59,0.0,133.36,341,4.28
2025-05-01 21:55:00,M002,Finished Material,Machine Component,131.67,0.0,197.34,467,0.3
2025-05-01 22:00:00,M005,Intermediate Material,Sheet Metal,192.35,0.0,178.9,193,3.31
2025-05-01 22:05:00,M010,Raw Material,Steel,168.02,0.0,109.23,228,3.93
2025-05-01 22:10:00,M004,Raw Material,Aluminum,137.96,0.0,177.57,338,1.64
2025-05-01 22:15:00,M003,Hazardous Material,Lead-Based Alloy,91.59,0.0,198.08,233,2.7
2025-05-01 22:20:00,M003,Raw Material,Steel,69.77,0.0,122.99,907,1.19
2025-05-01 22:25:00,M006,Raw Material,Aluminum,89.81,0.0,95.21,531,2.63
2025-05-01 22:30:00,M002,Recycled Material,Reprocessed Plastics,166.7,25.66,93.09,615,1.11
2025-05-01 22:35:00,M010,Raw Material,Polypropylene,118.71,0.0,195.68,162,4.99
2025-05-01 22:40:00,M007,Recycled Material,Scrap Steel,123.54,45.49,88.82,182,1.61
2025-05-01 22:45:00,M003,Raw Material,Aluminum,91.25,0.0,155.97,661,3.56
2025-05-01 22:50:00,M007,Hazardous Material,Solvent,118.06,0.0,152.65,201,3.97
2025-05-01 22:55:00,M002,Finished Material,Packaging,181.66,0.0,146.16,986,1.08
2025-05-01 23:00:00,M008,Intermediate Material,Plastic Resin,100.84,0.0,134.42,525,3.65
2025-05-01 23:05:00,M006,Recycled Material,Reprocessed Plastics,149.77,18.72,98.32,585,0.34
2025-05-01 23:10:00,M002,Raw Material,Cotton,64.48,0.0,168.66,931,0.65
2025-05-01 23:15:00,M001,Hazardous Material,Solvent,150.5,0.0,129.3,994,3.33
2025-05-01 23:20:00,M007,Finished Material,Circuit Board,195.26,0.0,152.05,460,0.52
2025-05-01 23:25:00,M009,Intermediate Material,Sheet Metal,148.51,0.0,106.91,210,1.75
2025-05-01 23:30:00,M009,Process Additive,Industrial Oil,164.39,0.0,148.89,926,2.15
2025-05-01 23:35:00,M009,Hazardous Material,Lead-Based Alloy,141.35,0.0,158.94,810,1.34
2025-05-01 23:40:00,M003,Process Additive,Catalyst,164.36,0.0,190.58,459,0.03
2025-05-01 23:45:00,M003,Hazardous Material,Solvent,60.44,0.0,168.92,131,0.46
2025-05-01 23:50:00,M009,Intermediate Material,Plastic Resin,112.97,0.0,120.91,478,1.56
2025-05-01 23:55:00,M006,Hazardous Material,Lead-Based Alloy,182.5,0.0,98.67,872,3.09
2025-05-02 00:00:00,M002,Process Additive,Coolant,149.29,0.0,138.28,552,2.07
2025-05-02 00:05:00,M004,Hazardous Material,Lead-Based Alloy,101.78,0.0,93.31,794,3.39
2025-05-02 00:10:00,M008,Hazardous Material,Solvent,56.81,0.0,127.43,713,0.27
2025-05-02 00:15:00,M004,Process Additive,Industrial Oil,165.1,0.0,171.7,396,1.64
2025-05-02 00:20:00,M001,Recycled Material,Reprocessed Plastics,76.35,19.01,164.44,612,2.79
2025-05-02 00:25:00,M006,Raw Material,Cotton,179.26,0.0,85.08,119,2.3
2025-05-02 00:30:00,M002,Process Additive,Catalyst,114.39,0.0,128.53,755,2.09
2025-05-02 00:35:00,M002,Recycled Material,Scrap Steel,194.93,8.59,193.71,571,4.16
2025-05-02 00:40:00,M006,Raw Material,Cotton,176.67,0.0,109.2,703,2.0
2025-05-02 00:45:00,M002,Recycled Material,Reprocessed Plastics,161.87,11.08,173.49,178,2.55
2025-05-02 00:50:00,M002,Hazardous Material,Lead-Based Alloy,185.89,0.0,121.93,844,4.79
2025-05-02 00:55:00,M003,Intermediate Material,Sheet Metal,71.97,0.0,103.67,716,0.76
2025-05-02 01:00:00,M002,Intermediate Material,Textiles,124.12,0.0,170.53,878,2.9
2025-05-02 01:05:00,M010,Finished Material,Packaging,197.98,0.0,118.78,742,1.58
2025-05-02 01:10:00,M008,Raw Material,Cotton,116.33,0.0,116.34,381,2.96
2025-05-02 01:15:00,M006,Hazardous Material,Lead-Based Alloy,96.56,0.0,134.23,158,1.84
2025-05-02 01:20:00,M005,Raw Material,Steel,142.25,0.0,140.85,573,2.9
2025-05-02 01:25:00,M001,Recycled Material,Scrap Steel,98.23,23.78,98.1,163,2.25
2025-05-02 01:30:00,M006,Finished Material,Circuit Board,125.68,0.0,100.71,353,3.54
2025-05-02 01:35:00,M008,Hazardous Material,Lead-Based Alloy,104.58,0.0,190.15,496,2.04
2025-05-02 01:40:00,M006,Finished Material,Packaging,57.85,0.0,155.71,442,0.33
2025-05-02 01:45:00,M002,Hazardous Material,Solvent,92.62,0.0,166.85,772,4.82
2025-05-02 01:50:00,M010,Intermediate Material,Plastic Resin,62.23,0.0,159.63,458,1.55
2025-05-02 01:55:00,M007,Intermediate Material,Textiles,156.33,0.0,90.17,672,1.88
2025-05-02 02:00:00,M006,Intermediate Material,Textiles,155.42,0.0,193.65,801,4.56
2025-05-02 02:05:00,M002,Finished Material,Packaging,113.51,0.0,123.42,471,1.54
2025-05-02 02:10:00,M004,Process Additive,Coolant,78.8,0.0,200.0,258,0.39
2025-05-02 02:15:00,M002,Hazardous Material,Lead-Based Alloy,149.29,0.0,185.17,732,0.66
2025-05-02 02:20:00,M007,Intermediate Material,Sheet Metal,77.13,0.0,163.14,739,4.05
2025-05-02 02:25:00,M003,Finished Material,Machine Component,56.55,0.0,123.72,836,1.19
2025-05-02 02:30:00,M008,Hazardous Material,Solvent,162.86,0.0,174.06,339,2.67
2025-05-02 02:35:00,M005,Recycled Material,Scrap Steel,105.18,47.36,198.13,572,3.85
2025-05-02 02:40:00,M007,Hazardous Material,Solvent,194.94,0.0,178.03,920,3.02
2025-05-02 02:45:00,M005,Raw Material,Cotton,181.12,0.0,146.54,205,3.56
2025-05-02 02:50:00,M009,Raw Material,Polypropylene,62.58,0.0,99.24,560,4.53
2025-05-02 02:55:00,M003,Recycled Material,Scrap Steel,191.96,11.1,134.14,457,4.65
2025-05-02 03:00:00,M007,Raw Material,Cotton,125.3,0.0,108.29,183,1.87
2025-05-02 03:05:00,M001,Process Additive,Industrial Oil,175.88,0.0,158.0,910,0.73
2025-05-02 03:10:00,M001,Process Additive,Coolant,154.41,0.0,96.66,822,2.35
2025-05-02 03:15:00,M010,Raw Material,Steel,52.85,0.0,105.88,253,2.74
2025-05-02 03:20:00,M010,Hazardous Material,Solvent,66.68,0.0,114.57,408,0.61
2025-05-02 03:25:00,M004,Recycled Material,Reprocessed Plastics,59.42,41.83,139.98,648,0.08
2025-05-02 03:30:00,M009,Hazardous Material,Lead-Based Alloy,157.78,0.0,114.95,101,3.07
2025-05-02 03:35:00,M004,Hazardous Material,Solvent,78.1,0.0,160.19,636,4.87
2025-05-02 03:40:00,M002,Hazardous Material,Lead-Based Alloy,108.57,0.0,136.42,750,1.93
2025-05-02 03:45:00,M006,Process Additive,Catalyst,52.44,0.0,174.62,453,1.21
2025-05-02 03:50:00,M002,Hazardous Material,Solvent,70.01,0.0,122.28,446,4.07
2025-05-02 03:55:00,M003,Finished Material,Machine Component,197.12,0.0,137.42,286,4.06
2025-05-02 04:00:00,M002,Finished Material,Machine Component,55.55,0.0,104.19,910,1.0
2025-05-02 04:05:00,M001,Process Additive,Coolant,127.31,0.0,198.69,656,2.37
2025-05-02 04:10:00,M001,Finished Material,Circuit Board,92.92,0.0,183.46,148,4.33
2025-05-02 04:15:00,M006,Process Additive,Industrial Oil,169.9,0.0,132.43,509,3.72
2025-05-02 04:20:00,M007,Process Additive,Industrial Oil,124.43,0.0,139.7,916,2.6
2025-05-02 04:25:00,M002,Finished Material,Machine Component,61.84,0.0,152.29,942,0.9
2025-05-02 04:30:00,M005,Process Additive,Industrial Oil,62.01,0.0,159.31,413,2.23
2025-05-02 04:35:00,M007,Intermediate Material,Textiles,116.59,0.0,133.66,844,4.35
2025-05-02 04:40:00,M006,Hazardous Material,Solvent,91.18,0.0,197.6,158,0.38
2025-05-02 04:45:00,M007,Process Additive,Catalyst,170.16,0.0,161.53,131,0.71
2025-05-02 04:50:00,M010,Finished Material,Machine Component,55.22,0.0,88.07,897,3.23
2025-05-02 04:55:00,M006,Recycled Material,Scrap Steel,140.76,33.95,193.86,480,2.22
2025-05-02 05:00:00,M002,Hazardous Material,Lead-Based Alloy,129.42,0.0,127.76,765,1.39
2025-05-02 05:05:00,M002,Raw Material,Aluminum,124.86,0.0,126.44,675,0.59
2025-05-02 05:10:00,M005,Finished Material,Machine Component,82.19,0.0,153.43,810,4.58
2025-05-02 05:15:00,M008,Intermediate Material,Sheet Metal,70.36,0.0,88.89,276,4.49
2025-05-02 05:20:00,M008,Raw Material,Polypropylene,150.18,0.0,165.14,663,2.71
2025-05-02 05:25:00,M005,Intermediate Material,Textiles,156.43,0.0,164.03,278,3.97
2025-05-02 05:30:00,M009,Intermediate Material,Sheet Metal,197.77,0.0,175.05,342,3.95
2025-05-02 05:35:00,M001,Process Additive,Catalyst,135.84,0.0,136.09,664,0.65
2025-05-02 05:40:00,M002,Raw Material,Polypropylene,109.72,0.0,166.03,590,2.63
2025-05-02 05:45:00,M007,Hazardous Material,Lead-Based Alloy,68.8,0.0,118.04,175,2.25
2025-05-02 05:50:00,M009,Process Additive,Industrial Oil,181.69,0.0,173.63,755,2.94
2025-05-02 05:55:00,M003,Recycled Material,Scrap Steel,174.71,25.91,116.49,265,1.61
2025-05-02 06:00:00,M004,Process Additive,Catalyst,184.24,0.0,181.51,356,0.98
2025-05-02 06:05:00,M009,Process Additive,Industrial Oil,143.75,0.0,153.73,195,2.51
2025-05-02 06:10:00,M003,Hazardous Material,Lead-Based Alloy,75.68,0.0,154.94,719,1.69
2025-05-02 06:15:00,M010,Raw Material,Steel,62.18,0.0,193.83,889,2.88
2025-05-02 06:20:00,M004,Hazardous Material,Solvent,142.72,0.0,83.63,742,2.73
2025-05-02 06:25:00,M005,Recycled Material,Scrap Steel,170.7,34.25,115.69,174,3.44
2025-05-02 06:30:00,M003,Recycled Material,Reprocessed Plastics,122.64,10.2,152.8,420,4.31
2025-05-02 06:35:00,M006,Finished Material,Machine Component,196.31,0.0,95.69,479,2.57
2025-05-02 06:40:00,M002,Process Additive,Industrial Oil,119.97,0.0,112.1,353,0.7
2025-05-02 06:45:00,M001,Process Additive,Coolant,179.62,0.0,130.18,986,4.51
2025-05-02 06:50:00,M006,Hazardous Material,Solvent,78.48,0.0,99.12,627,2.33
2025-05-02 06:55:00,M005,Recycled Material,Scrap Steel,63.51,19.66,134.87,346,1.08
2025-05-02 07:00:00,M006,Raw Material,Steel,92.2,0.0,151.7,963,3.27
2025-05-02 07:05:00,M008,Process Additive,Catalyst,51.23,0.0,92.9,237,4.41
2025-05-02 07:10:00,M006,Recycled Material,Reprocessed Plastics,56.79,2.56,147.42,471,2.77
2025-05-02 07:15:00,M002,Recycled Material,Reprocessed Plastics,164.66,13.99,198.69,796,3.06
2025-05-02 07:20:00,M003,Raw Material,Cotton,105.98,0.0,198.41,671,4.69
2025-05-02 07:25:00,M003,Intermediate Material,Textiles,126.37,0.0,140.01,146,0.19
2025-05-02 07:30:00,M006,Recycled Material,Reprocessed Plastics,72.34,44.66,96.77,727,1.59
2025-05-02 07:35:00,M007,Hazardous Material,Solvent,139.06,0.0,140.88,621,2.66
2025-05-02 07:40:00,M010,Process Additive,Coolant,172.36,0.0,124.2,789,0.55
2025-05-02 07:45:00,M007,Hazardous Material,Solvent,169.51,0.0,167.04,804,3.15
2025-05-02 07:50:00,M010,Recycled Material,Reprocessed Plastics,195.06,39.15,173.14,691,1.14
2025-05-02 07:55:00,M001,Hazardous Material,Solvent,75.58,0.0,155.48,734,3.87
2025-05-02 08:00:00,M007,Intermediate Material,Textiles,86.33,0.0,148.71,817,0.55
