piece_id,produit_id,type_piece,temp_air_K,temp_process_K,vitesse_rotation_rpm,couple_Nm,usure_outil_min,panne_machine,defaut_usure_outil,defaut_chaleur,defaut_puissance,defaut_surcharge,defaut_aleatoire,usine,temp_air_C,temp_process_C,delta_temp_C,puissance_W,ratio_couple_vitesse,nb_defauts
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,FR-Lyon,25.85,36.25,10.4,7177.25,0.034,0
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,ES-Barcelone,25.75,36.15,10.4,5666.65,0.0195,0
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,ES-Barcelone,25.65,35.95,10.3,5665.06,0.0222,0
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,ES-Madrid,25.65,36.05,10.4,7389.78,0.0334,0
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,FR-Toulouse,25.75,36.05,10.3,6076.12,0.0232,0
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,FR-Lyon,25.65,35.95,10.3,5907.12,0.0272,0
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,ES-Madrid,25.75,36.05,10.3,7321.51,0.0367,0
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,FR-Toulouse,25.65,35.95,10.3,7422.01,0.0389,0
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,FR-Lyon,25.65,35.95,10.3,6475.33,0.0333,0
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,FR-Nantes,25.65,35.95,10.3,7277.44,0.0371,0
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,FR-Lyon,25.65,35.95,10.3,7033.9,0.0359,0
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,ES-Barcelone,25.65,36.05,10.4,6968.26,0.0353,0
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,FR-Toulouse,25.65,35.95,10.3,7322.01,0.0322,0
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,ES-Madrid,25.65,35.95,10.3,7656.05,0.033,0
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,FR-Toulouse,25.55,35.85,10.3,4979.36,0.014,0
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,FR-Nantes,25.65,35.95,10.3,6875.21,0.0326,0
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,FR-Nantes,25.65,36.05,10.4,8043.26,0.0378,0
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,FR-Lyon,25.75,36.05,10.3,6520.82,0.0312,0
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,ES-Barcelone,25.75,35.95,10.2,1378.17,0.0016,1
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,ES-Madrid,25.75,35.95,10.2,7951.03,0.0397,0
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,ES-Barcelone,25.65,35.85,10.2,6866.33,0.0292,0
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,ES-Barcelone,25.55,35.85,10.3,5752.41,0.0224,0
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,FR-Nantes,25.55,35.85,10.3,5330.14,0.0178,0
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,ES-Barcelone,25.65,35.95,10.3,6444.29,0.0269,0
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,FR-Lyon,25.65,35.95,10.3,6558.05,0.0287,0
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,FR-Lyon,25.65,35.95,10.3,6385.17,0.0266,0
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,FR-Lyon,25.65,35.85,10.2,5131.22,0.0177,0
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,FR-Toulouse,25.65,35.95,10.3,7850.13,0.0394,0
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,FR-Toulouse,25.65,35.95,10.3,7673.0,0.0377,0
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,FR-Toulouse,25.65,35.85,10.2,6368.47,0.024,0
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,ES-Madrid,25.65,35.85,10.2,4386.09,0.0125,0
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,FR-Toulouse,25.75,35.85,10.1,4914.58,0.0143,0
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,FR-Toulouse,25.85,35.95,10.1,6156.24,0.0253,0
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,FR-Nantes,25.85,35.95,10.1,6583.67,0.0323,0
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,FR-Lyon,25.75,35.75,10.0,5046.16,0.0171,0
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,ES-Madrid,25.65,35.75,10.1,6770.2,0.0301,0
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,FR-Lyon,25.65,35.75,10.1,5180.99,0.0212,0
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,ES-Barcelone,25.75,35.85,10.1,9700.92,0.0466,2
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,ES-Madrid,25.75,35.85,10.1,4553.47,0.0117,0
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,FR-Lyon,25.75,35.95,10.2,6918.42,0.0313,0
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,FR-Lyon,25.75,35.95,10.2,6365.24,0.0324,0
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,ES-Madrid,25.85,35.95,10.1,5834.98,0.022,0
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,ES-Madrid,25.75,35.85,10.1,5415.3,0.0202,0
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,ES-Madrid,25.65,35.75,10.1,6743.88,0.0338,0
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,ES-Madrid,25.65,35.75,10.1,7328.49,0.0328,0
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,FR-Lyon,25.65,35.75,10.1,6292.77,0.0284,1
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,FR-Toulouse,25.65,35.75,10.1,7539.51,0.0368,0
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,FR-Lyon,25.65,35.75,10.1,5564.37,0.027,0
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,ES-Barcelone,25.65,35.65,10.0,7550.87,0.0345,0
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,FR-Nantes,25.75,35.75,10.0,7212.57,0.0327,0
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,FR-Toulouse,25.75,35.75,10.0,6208.04,0.0281,0
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,FR-Lyon,25.85,35.85,10.0,6168.72,0.0273,0
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,FR-Toulouse,25.75,35.75,10.0,7088.19,0.0335,0
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,FR-Toulouse,25.85,35.85,10.0,5062.91,0.0148,0
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,ES-Madrid,25.85,35.85,10.0,6601.58,0.0305,0
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,FR-Nantes,25.85,35.85,10.0,5141.66,0.0206,0
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,ES-Barcelone,25.85,35.85,10.0,6716.6,0.0318,0
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,FR-Nantes,25.75,35.75,10.0,6150.87,0.0265,0
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,FR-Lyon,25.75,35.75,10.0,4736.2,0.0147,0
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,ES-Madrid,25.75,35.75,10.0,4771.77,0.0136,0
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,ES-Madrid,25.75,35.75,10.0,4901.06,0.0157,0
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,FR-Nantes,25.95,35.85,9.9,6529.28,0.0296,0
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,ES-Madrid,25.85,35.75,9.9,5418.39,0.0197,0
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,FR-Nantes,25.85,35.85,10.0,7385.07,0.0386,0
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,FR-Nantes,25.85,35.85,10.0,5822.16,0.0224,0
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,FR-Toulouse,25.75,35.75,10.0,5479.46,0.0171,0
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,FR-Lyon,25.75,35.65,9.9,5235.81,0.0214,0
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,FR-Lyon,25.65,35.65,10.0,7081.28,0.0291,0
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,FR-Lyon,25.65,35.75,10.1,4848.52,0.0135,0
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,FR-Nantes,25.65,35.65,10.0,4315.89,0.0104,0
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,FR-Toulouse,25.65,35.65,10.0,6611.27,0.0261,0
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,FR-Nantes,25.65,35.65,10.0,6111.5,0.0281,0
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,ES-Barcelone,25.65,35.55,9.9,6590.01,0.0299,0
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,FR-Lyon,25.65,35.55,9.9,5181.54,0.0195,0
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,FR-Toulouse,25.65,35.55,9.9,7339.02,0.0335,0
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,ES-Madrid,25.65,35.65,10.0,7336.62,0.0312,0
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,FR-Lyon,25.75,35.65,9.9,5550.85,0.0202,0
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,FR-Lyon,25.75,35.55,9.8,5613.52,0.0217,0
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,FR-Toulouse,25.65,35.45,9.8,4410.8,0.012,0
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,FR-Lyon,25.55,35.45,9.9,6828.41,0.029,0
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,ES-Barcelone,25.65,35.55,9.9,6196.37,0.0264,0
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,ES-Madrid,25.65,35.45,9.8,6520.21,0.0282,0
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,FR-Nantes,25.65,35.45,9.8,5172.32,0.0175,0
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,ES-Barcelone,25.65,35.45,9.8,6848.33,0.0319,0
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,ES-Madrid,25.75,35.55,9.8,5584.96,0.0218,0
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,FR-Lyon,25.65,35.45,9.8,5525.75,0.0206,0
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,ES-Barcelone,25.65,35.45,9.8,5023.06,0.0165,0
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,FR-Nantes,25.55,35.35,9.8,6252.49,0.0277,0
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,ES-Madrid,25.75,35.55,9.8,6707.83,0.0312,0
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,ES-Barcelone,25.75,35.55,9.8,6721.92,0.0264,0
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,FR-Toulouse,25.85,35.65,9.8,6955.17,0.0387,0
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,FR-Lyon,25.75,35.55,9.8,7026.32,0.0281,0
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,FR-Lyon,25.75,35.55,9.8,5317.02,0.017,0
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,FR-Toulouse,25.75,35.45,9.7,5260.28,0.0206,0
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,ES-Madrid,25.85,35.45,9.6,8419.94,0.0455,0
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,ES-Barcelone,25.75,35.45,9.7,6880.56,0.0329,0
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,FR-Lyon,25.85,35.45,9.6,6414.94,0.0243,0
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,FR-Nantes,25.75,35.35,9.6,5599.75,0.022,0
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,FR-Toulouse,25.65,35.25,9.6,6339.77,0.0279,0
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,FR-Lyon,25.65,35.25,9.6,5038.58,0.0159,0
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,FR-Lyon,25.55,35.25,9.7,6518.93,0.03,0
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,FR-Toulouse,25.55,35.25,9.7,7427.56,0.0347,0
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,ES-Barcelone,25.65,35.25,9.6,7598.15,0.0387,0
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,FR-Toulouse,25.65,35.35,9.7,5106.5,0.0166,0
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,FR-Nantes,25.55,35.35,9.8,6795.68,0.0322,0
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,ES-Madrid,25.55,35.45,9.9,7510.93,0.0426,0
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,FR-Toulouse,25.65,35.45,9.8,7495.9,0.0341,0
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,ES-Barcelone,25.65,35.45,9.8,7409.38,0.044,0
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,ES-Barcelone,25.65,35.45,9.8,5712.16,0.0239,0
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,FR-Toulouse,25.55,35.35,9.8,5691.39,0.0228,0
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,FR-Nantes,25.45,35.25,9.8,5250.61,0.0159,0
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,FR-Toulouse,25.45,35.25,9.8,7440.71,0.0359,0
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,FR-Toulouse,25.45,35.25,9.8,6176.2,0.0305,0
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,FR-Lyon,25.35,35.25,9.9,5323.62,0.0222,0
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,FR-Nantes,25.35,35.25,9.9,6093.98,0.0224,0
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,FR-Nantes,25.25,35.25,10.0,6361.88,0.0265,0
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,FR-Lyon,25.15,35.15,10.0,6931.61,0.0348,0
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,FR-Toulouse,25.25,35.15,9.9,6154.66,0.0271,0
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,ES-Barcelone,25.25,35.15,9.9,6358.52,0.03,0
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,FR-Lyon,25.25,35.05,9.8,5760.51,0.0257,0
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,FR-Lyon,25.25,35.05,9.8,6800.92,0.0259,0
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,FR-Nantes,25.25,35.05,9.8,5230.75,0.0146,0
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,ES-Barcelone,25.25,35.05,9.8,5792.43,0.0237,0
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,FR-Lyon,25.25,35.05,9.8,4119.95,0.01,0
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,ES-Madrid,25.25,34.95,9.7,7201.58,0.0307,0
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,ES-Madrid,25.25,35.05,9.8,6732.75,0.0294,0
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,FR-Lyon,25.25,35.05,9.8,6279.0,0.0267,0
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,ES-Madrid,25.25,35.05,9.8,7240.01,0.0319,0
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,FR-Toulouse,25.25,35.05,9.8,8149.02,0.0473,1
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,FR-Nantes,25.15,34.95,9.8,7733.3,0.037,1
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,FR-Nantes,25.15,34.95,9.8,5896.04,0.0224,0
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,FR-Nantes,25.25,35.05,9.8,6733.31,0.0298,0
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,FR-Lyon,25.35,35.15,9.8,6574.73,0.0303,0
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,ES-Madrid,25.35,35.25,9.9,4718.46,0.015,0
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,FR-Toulouse,25.25,35.05,9.8,5503.15,0.0202,0
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,FR-Lyon,25.25,35.15,9.9,6550.03,0.0294,0
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,FR-Lyon,25.25,35.15,9.9,9348.95,0.0434,1
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,FR-Nantes,25.25,35.15,9.9,8157.02,0.0448,0
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,ES-Madrid,25.25,35.05,9.8,5900.96,0.0217,0
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,FR-Lyon,25.05,34.95,9.9,7777.49,0.0347,0
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,FR-Nantes,24.95,34.85,9.9,4190.8,0.0108,0
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,FR-Lyon,25.05,34.85,9.8,5614.73,0.0212,0
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,FR-Nantes,25.05,34.95,9.9,7973.34,0.0446,0
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,FR-Lyon,25.05,34.95,9.9,6295.44,0.0315,0
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,ES-Madrid,25.05,34.95,9.9,5879.45,0.0214,0
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,FR-Toulouse,25.05,35.05,10.0,4455.11,0.0108,0
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,ES-Barcelone,25.05,35.05,10.0,7548.95,0.0349,0
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,FR-Lyon,25.05,35.15,10.1,6800.42,0.0382,0
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,FR-Toulouse,25.05,35.15,10.1,7707.64,0.0338,0
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,FR-Lyon,25.05,35.15,10.1,4622.41,0.0133,0
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,ES-Barcelone,24.95,35.05,10.1,6759.68,0.0358,0
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,ES-Barcelone,24.95,35.05,10.1,6329.21,0.0274,0
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,FR-Toulouse,25.05,35.05,10.0,5341.78,0.0183,0
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,ES-Madrid,25.05,35.05,10.0,5784.43,0.0264,0
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,ES-Madrid,24.95,35.15,10.2,7629.46,0.043,0
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,FR-Nantes,25.05,35.25,10.2,6224.01,0.0312,0
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,FR-Nantes,25.15,35.35,10.2,5650.85,0.0209,0
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,FR-Lyon,25.15,35.25,10.1,6994.5,0.0282,0
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,FR-Lyon,25.05,35.25,10.2,7718.09,0.0338,0
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,ES-Barcelone,25.05,35.25,10.2,6036.42,0.0208,0
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,ES-Barcelone,25.05,35.25,10.2,7583.43,0.037,0
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,FR-Nantes,25.05,35.25,10.2,6079.9,0.0206,0
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,FR-Toulouse,25.05,35.35,10.3,3000.7,0.004,1
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,FR-Toulouse,25.15,35.35,10.2,6527.57,0.0295,0
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,ES-Madrid,25.15,35.45,10.3,7422.96,0.0345,0
